SECTION,QUERY_TERM,DESCRIPTION,CATEGORICAL_TYPES,INTERACTOME_GRANULAR_TYPES,SIGNATURE_NAMES,TOTAL_TYPE_COUNT,CANONICAL_NAME,ORIGINAL_NAME,COMPARTMENT,QUERY_TERMS_THAT_INCLUDE_THIS,NOTES,INTERACTOME_ORIGINAL_NAME,CANONICAL_PARENT,FUNCTIONAL_STATE,SOURCE_DATASETS,CONFIDENCE,SIGNATURE_NAME
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+CREM+ Tm,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+CXCR5+ pre-Tfh,CD4_TFH,follicular_helper,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+GZMK+ Tem,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+IFNG+ Tfh/Th1,CD4_TFH,follicular_helper,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+IL21+ Tfh,CD4_TFH,follicular_helper,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+IL26+ Th17,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+IL7R- Tn,CD4+_T_CELLS,naive,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+ISG+ Th,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells, Treg",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+ISG+ Treg,CD4_T_REGULATORY,regulatory,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+NME1+CCR4+ T,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+NME1+CCR4- T,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells, Treg",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+S1PR1+ Treg,CD4_T_REGULATORY,regulatory,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+TIMP1+ Tm,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+TNF+ T,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells, Treg",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+TNFRSF9+ Treg,CD4_T_REGULATORY,regulatory,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells, Treg",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+TNFRSF9- Treg,CD4_T_REGULATORY,regulatory,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+Temra,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+Tn,CD4+_T_CELLS,naive,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,NK cells,,CD56bright NK,NK_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,NK cells,,CD56dim NK,NK_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",,CD8 T,CD8_T_GENERAL,,"Bindeya, Newman",high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+GZMK+ Tem,CD8_TMEMORY,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells, exhausted T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+GZMK+ Tex,CD8_T_EXHAUSTED,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+GZMK+ early Tem,CD8_TMEMORY,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD8 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD8+IL7R+ Tm,CD8_T_GENERAL,,Zheng,high,
