,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[2391],-0.155,0.045,-0.236,-0.068,0.0,0.001,14428.0,6293.0,1.0
mu[2392],-0.049,0.046,-0.132,0.038,0.0,0.001,14138.0,6044.0,1.0
mu[2393],-0.156,0.045,-0.24,-0.071,0.0,0.001,14200.0,6287.0,1.0
mu[2394],-0.048,0.05,-0.144,0.043,0.0,0.001,14751.0,6784.0,1.0
mu[2395],-0.09,0.044,-0.174,-0.007,0.0,0.001,14796.0,5998.0,1.0
mu[2396],-0.221,0.045,-0.311,-0.142,0.0,0.001,15597.0,6133.0,1.0
mu[2397],0.274,0.046,0.189,0.36,0.0,0.001,15588.0,6609.0,1.0
mu[2398],-0.076,0.046,-0.166,0.006,0.0,0.001,14583.0,6156.0,1.0
mu[2399],-0.077,0.046,-0.164,0.006,0.0,0.001,13982.0,5807.0,1.0
mu[2400],-0.063,0.046,-0.15,0.021,0.0,0.001,16187.0,5988.0,1.0
mu[2401],-0.053,0.045,-0.137,0.034,0.0,0.001,16765.0,5932.0,1.0
mu[2402],-0.115,0.046,-0.201,-0.032,0.0,0.001,13771.0,5954.0,1.0
mu[2403],-0.014,0.046,-0.097,0.076,0.0,0.001,15968.0,6256.0,1.0
mu[2404],-0.145,0.051,-0.239,-0.048,0.0,0.001,16382.0,6628.0,1.0
mu[2405],-0.023,0.045,-0.11,0.059,0.0,0.001,14488.0,5729.0,1.0
mu[2406],-0.138,0.044,-0.223,-0.055,0.0,0.001,14324.0,6106.0,1.0
mu[2407],-0.065,0.046,-0.149,0.022,0.0,0.001,15050.0,6292.0,1.0
mu[2408],-0.183,0.045,-0.269,-0.098,0.0,0.001,14749.0,5434.0,1.0
mu[2409],-0.119,0.045,-0.204,-0.035,0.0,0.001,14153.0,5957.0,1.0
mu[2410],-0.022,0.045,-0.107,0.06,0.0,0.001,15545.0,5579.0,1.0
mu[2411],-0.015,0.044,-0.097,0.066,0.0,0.001,13657.0,6519.0,1.0
mu[2412],-0.188,0.046,-0.272,-0.101,0.0,0.001,14528.0,5756.0,1.0
mu[2413],-0.004,0.045,-0.088,0.08,0.0,0.001,16207.0,6216.0,1.0
mu[2414],0.068,0.045,-0.015,0.152,0.0,0.001,16897.0,6411.0,1.0
mu[2415],-0.054,0.053,-0.152,0.048,0.0,0.001,15538.0,6453.0,1.0
mu[2416],-0.084,0.045,-0.168,-0.001,0.0,0.001,13607.0,5559.0,1.0
mu[2417],-0.109,0.045,-0.196,-0.026,0.0,0.001,15063.0,6327.0,1.0
mu[2418],0.035,0.045,-0.047,0.122,0.0,0.001,16409.0,6236.0,1.0
