,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[1496],0.05,0.061,-0.066,0.163,0.001,0.001,13826.0,6632.0,1.0
mu[1497],0.261,0.061,0.15,0.377,0.001,0.001,13707.0,6404.0,1.0
mu[1498],-0.014,0.061,-0.129,0.102,0.001,0.001,14396.0,6112.0,1.0
mu[1499],0.095,0.062,-0.019,0.213,0.001,0.001,12915.0,6074.0,1.0
mu[1500],0.651,0.061,0.536,0.766,0.001,0.001,11450.0,7071.0,1.0
mu[1501],-0.058,0.061,-0.17,0.059,0.001,0.001,12494.0,6277.0,1.0
mu[1502],-0.215,0.06,-0.331,-0.104,0.0,0.001,16062.0,5787.0,1.0
mu[1503],-0.029,0.059,-0.139,0.083,0.0,0.001,14296.0,6193.0,1.0
mu[1504],-0.298,0.061,-0.412,-0.184,0.0,0.001,15380.0,5808.0,1.0
mu[1505],0.135,0.071,0.002,0.267,0.001,0.001,10996.0,6660.0,1.0
mu[1506],-0.227,0.06,-0.347,-0.119,0.0,0.001,15989.0,6516.0,1.0
mu[1507],-0.416,0.061,-0.533,-0.308,0.0,0.001,14682.0,6097.0,1.0
mu[1508],-0.423,0.061,-0.54,-0.311,0.001,0.001,11629.0,6094.0,1.0
mu[1509],0.317,0.06,0.204,0.425,0.001,0.001,13146.0,6000.0,1.0
mu[1510],-0.01,0.06,-0.118,0.105,0.0,0.001,14523.0,6073.0,1.0
mu[1511],-0.587,0.061,-0.7,-0.474,0.001,0.001,10982.0,6504.0,1.0
mu[1512],-0.264,0.061,-0.38,-0.154,0.001,0.001,12937.0,5900.0,1.0
mu[1513],-0.134,0.06,-0.253,-0.027,0.0,0.001,16261.0,6014.0,1.0
mu[1514],-0.136,0.061,-0.257,-0.027,0.001,0.001,13034.0,5487.0,1.0
mu[1515],-0.454,0.07,-0.585,-0.323,0.001,0.001,10128.0,6675.0,1.0
mu[1516],-0.136,0.059,-0.249,-0.026,0.0,0.001,17024.0,6476.0,1.0
mu[1517],-0.199,0.06,-0.308,-0.08,0.0,0.001,16499.0,6169.0,1.0
mu[1518],-0.264,0.061,-0.381,-0.151,0.001,0.001,12143.0,6291.0,1.0
mu[1519],-0.725,0.06,-0.835,-0.611,0.001,0.001,14337.0,6553.0,1.0
mu[1520],-0.29,0.061,-0.409,-0.181,0.0,0.001,16788.0,6498.0,1.0
mu[1521],0.125,0.06,0.011,0.238,0.0,0.001,14660.0,5962.0,1.0
mu[1522],0.021,0.061,-0.093,0.135,0.0,0.001,15418.0,6018.0,1.0
mu[1523],-0.801,0.06,-0.914,-0.687,0.001,0.001,13366.0,6351.0,1.0
mu[1524],0.185,0.061,0.068,0.296,0.001,0.001,13837.0,6130.0,1.0
mu[1525],0.182,0.061,0.067,0.296,0.001,0.001,14195.0,6079.0,1.0
mu[1526],0.065,0.072,-0.068,0.204,0.001,0.001,11761.0,6334.0,1.0
mu[1527],-0.193,0.061,-0.306,-0.08,0.0,0.001,16953.0,5756.0,1.0
mu[1528],-0.221,0.061,-0.335,-0.105,0.0,0.001,18141.0,6702.0,1.0
mu[1529],0.032,0.061,-0.083,0.147,0.001,0.001,13934.0,6145.0,1.0
mu[1530],0.003,0.062,-0.111,0.118,0.001,0.001,13840.0,6060.0,1.0
mu[1531],0.047,0.061,-0.068,0.16,0.001,0.001,13939.0,5851.0,1.0
mu[1532],-0.362,0.061,-0.476,-0.245,0.0,0.001,17114.0,6452.0,1.0
mu[1533],-0.229,0.06,-0.339,-0.111,0.0,0.001,17521.0,6496.0,1.0
mu[1534],0.223,0.061,0.107,0.334,0.001,0.001,13777.0,5882.0,1.0
mu[1535],0.233,0.061,0.116,0.346,0.001,0.001,14933.0,6390.0,1.0
mu[1536],0.092,0.071,-0.039,0.225,0.001,0.001,12241.0,6337.0,1.0
mu[1537],0.122,0.062,0.004,0.235,0.001,0.001,14682.0,6005.0,1.0
mu[1538],-0.164,0.061,-0.273,-0.046,0.001,0.001,13536.0,6363.0,1.0
mu[1539],0.078,0.061,-0.036,0.19,0.001,0.001,14070.0,6535.0,1.0
mu[1540],-0.134,0.061,-0.252,-0.021,0.001,0.001,12867.0,6457.0,1.0
mu[1541],-0.422,0.062,-0.54,-0.308,0.0,0.001,16304.0,6240.0,1.0
mu[1542],-0.088,0.072,-0.223,0.045,0.001,0.001,11929.0,6780.0,1.0
mu[1543],-0.242,0.061,-0.355,-0.127,0.0,0.001,17524.0,6053.0,1.0
mu[1544],0.063,0.062,-0.052,0.181,0.0,0.001,15388.0,6260.0,1.0
mu[1545],0.049,0.062,-0.068,0.163,0.001,0.001,14932.0,6050.0,1.0
mu[1546],0.093,0.06,-0.03,0.197,0.001,0.001,14561.0,6235.0,1.0
mu[1547],0.261,0.071,0.129,0.396,0.001,0.001,11750.0,7124.0,1.0
mu[1548],0.187,0.061,0.071,0.302,0.001,0.001,14279.0,5757.0,1.0
mu[1549],-0.247,0.061,-0.359,-0.128,0.001,0.001,13496.0,6142.0,1.0
mu[1550],0.165,0.073,0.027,0.298,0.001,0.001,11741.0,7216.0,1.0
mu[1551],-0.081,0.061,-0.197,0.032,0.001,0.001,14056.0,6273.0,1.0
mu[1552],0.019,0.061,-0.098,0.132,0.001,0.001,14446.0,6532.0,1.0
mu[1553],-0.008,0.062,-0.121,0.108,0.001,0.001,13874.0,6125.0,1.0
mu[1554],-0.078,0.071,-0.213,0.055,0.001,0.001,11610.0,6396.0,1.0
mu[1555],-0.029,0.06,-0.141,0.087,0.0,0.001,16306.0,5866.0,1.0
