,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[14807],0.001,0.045,-0.086,0.081,0.0,0.001,22493.0,5807.0,1.0
mu[14808],-0.017,0.045,-0.101,0.068,0.0,0.001,20034.0,5491.0,1.0
mu[14809],-0.012,0.045,-0.096,0.072,0.0,0.001,20192.0,5760.0,1.0
mu[14810],0.003,0.045,-0.079,0.091,0.0,0.001,21258.0,5704.0,1.0
mu[14811],-0.003,0.044,-0.084,0.083,0.0,0.001,21089.0,5385.0,1.0
mu[14812],-0.019,0.048,-0.112,0.066,0.0,0.001,18894.0,5653.0,1.0
mu[14813],0.038,0.047,-0.048,0.126,0.0,0.001,20046.0,5447.0,1.0
mu[14814],0.077,0.045,-0.011,0.158,0.0,0.001,24319.0,5166.0,1.0
mu[14815],-0.09,0.046,-0.176,-0.006,0.0,0.001,19198.0,5680.0,1.0
mu[14816],-0.039,0.045,-0.123,0.044,0.0,0.001,18933.0,5652.0,1.0
mu[14817],0.016,0.046,-0.072,0.102,0.0,0.001,19873.0,5256.0,1.0
mu[14818],0.006,0.044,-0.076,0.089,0.0,0.001,21462.0,5452.0,1.0
mu[14819],0.186,0.045,0.104,0.27,0.0,0.001,22569.0,5429.0,1.0
mu[14820],0.359,0.044,0.277,0.444,0.0,0.001,17602.0,5400.0,1.0
mu[14821],0.114,0.044,0.032,0.198,0.0,0.001,19661.0,5760.0,1.0
mu[14822],-0.007,0.047,-0.092,0.085,0.0,0.001,18734.0,5695.0,1.0
mu[14823],-0.01,0.047,-0.099,0.077,0.0,0.001,19848.0,5308.0,1.0
mu[14824],0.037,0.054,-0.065,0.14,0.0,0.001,14864.0,6256.0,1.0
mu[14825],-0.026,0.045,-0.111,0.057,0.0,0.001,19741.0,5796.0,1.0
mu[14826],-0.06,0.047,-0.145,0.036,0.0,0.001,18668.0,5311.0,1.0
mu[14827],-0.005,0.046,-0.088,0.084,0.0,0.001,17961.0,5177.0,1.0
mu[14828],-0.015,0.049,-0.106,0.08,0.0,0.001,19741.0,5393.0,1.0
mu[14829],-0.071,0.045,-0.158,0.01,0.0,0.001,20327.0,5295.0,1.0
mu[14830],0.004,0.048,-0.089,0.092,0.0,0.001,17779.0,5255.0,1.0
mu[14831],0.062,0.044,-0.021,0.145,0.0,0.001,20483.0,5465.0,1.0
mu[14832],0.002,0.044,-0.079,0.088,0.0,0.001,18831.0,5277.0,1.0
mu[14833],0.028,0.046,-0.059,0.113,0.0,0.001,21652.0,6102.0,1.0
mu[14834],-0.019,0.045,-0.107,0.063,0.0,0.001,19372.0,5229.0,1.0
mu[14835],0.11,0.045,0.026,0.194,0.0,0.001,18660.0,5466.0,1.0
mu[14836],-0.049,0.045,-0.131,0.034,0.0,0.001,20911.0,5802.0,1.0
mu[14837],-0.103,0.044,-0.188,-0.021,0.0,0.001,18788.0,5731.0,1.0
