,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[996],-0.011,0.066,-0.133,0.112,0.001,0.001,14183.0,6330.0,1.0
mu[997],-0.016,0.062,-0.135,0.092,0.0,0.001,15653.0,6065.0,1.0
mu[998],-0.011,0.071,-0.14,0.124,0.001,0.001,13715.0,6320.0,1.0
mu[999],-0.013,0.056,-0.122,0.086,0.0,0.001,15821.0,5546.0,1.0
mu[1000],-0.015,0.056,-0.116,0.09,0.0,0.001,16438.0,5937.0,1.0
mu[1001],-0.012,0.058,-0.12,0.096,0.0,0.001,15384.0,5802.0,1.0
mu[1002],-0.012,0.06,-0.126,0.1,0.0,0.001,14876.0,6090.0,1.0
mu[1003],-0.013,0.054,-0.113,0.089,0.0,0.001,16269.0,5856.0,1.0
mu[1004],-0.014,0.054,-0.112,0.088,0.0,0.001,16515.0,5861.0,1.0
mu[1005],-0.013,0.056,-0.12,0.087,0.0,0.001,15875.0,5489.0,1.0
mu[1006],-0.013,0.054,-0.113,0.089,0.0,0.001,16269.0,5856.0,1.0
mu[1007],-0.016,0.061,-0.134,0.092,0.0,0.001,15714.0,6009.0,1.0
mu[1008],-0.013,0.057,-0.116,0.096,0.0,0.001,15561.0,5714.0,1.0
mu[1009],-0.013,0.055,-0.118,0.084,0.0,0.001,16211.0,5800.0,1.0
mu[1010],-0.015,0.056,-0.116,0.088,0.0,0.001,16486.0,5914.0,1.0
mu[1011],-0.011,0.066,-0.136,0.113,0.001,0.001,14107.0,6303.0,1.0
mu[1012],-0.013,0.056,-0.12,0.089,0.0,0.001,15701.0,5672.0,1.0
mu[1013],-0.013,0.055,-0.118,0.086,0.0,0.001,16035.0,5587.0,1.0
mu[1014],-0.01,0.072,-0.148,0.122,0.001,0.001,13599.0,6383.0,1.0
mu[1015],-0.012,0.058,-0.12,0.096,0.0,0.001,15384.0,5802.0,1.0
mu[1016],-0.081,0.06,-0.196,0.029,0.0,0.001,17846.0,5903.0,1.0
mu[1017],-0.049,0.056,-0.153,0.057,0.0,0.001,19892.0,5343.0,1.0
mu[1018],-0.213,0.097,-0.394,-0.027,0.001,0.001,12427.0,7152.0,1.0
mu[1019],0.016,0.058,-0.092,0.127,0.0,0.001,17624.0,5565.0,1.0
mu[1020],0.051,0.065,-0.073,0.17,0.001,0.001,15534.0,6025.0,1.0
mu[1021],-0.06,0.057,-0.166,0.047,0.0,0.001,19096.0,5399.0,1.0
mu[1022],-0.008,0.056,-0.111,0.099,0.0,0.001,19143.0,5411.0,1.0
mu[1023],-0.09,0.061,-0.205,0.025,0.0,0.001,17308.0,5950.0,1.0
mu[1024],0.055,0.066,-0.071,0.176,0.001,0.001,15324.0,6096.0,1.0
mu[1025],0.112,0.082,-0.036,0.269,0.001,0.001,13265.0,6974.0,1.0
mu[1026],-0.115,0.067,-0.242,0.007,0.001,0.001,15841.0,6411.0,1.0
mu[1027],-0.109,0.065,-0.233,0.01,0.001,0.001,16151.0,6252.0,1.0
mu[1028],-0.47,0.199,-0.856,-0.106,0.002,0.002,11004.0,7357.0,1.0
mu[1029],-0.073,0.058,-0.183,0.036,0.0,0.001,18321.0,5707.0,1.0
mu[1030],-0.012,0.056,-0.117,0.093,0.0,0.001,19405.0,5172.0,1.0
mu[1031],-0.04,0.055,-0.145,0.063,0.0,0.001,20054.0,5435.0,1.0
mu[1032],-0.061,0.057,-0.167,0.046,0.0,0.001,19060.0,5438.0,1.0
mu[1033],0.084,0.073,-0.057,0.217,0.001,0.001,14106.0,6550.0,1.0
mu[1034],-0.171,0.083,-0.331,-0.019,0.001,0.001,13326.0,6920.0,1.0
mu[1035],0.088,0.075,-0.05,0.228,0.001,0.001,13949.0,6724.0,1.0
mu[1036],-0.079,0.059,-0.189,0.034,0.0,0.001,18002.0,5830.0,1.0
mu[1037],-0.048,0.056,-0.15,0.059,0.0,0.001,19928.0,5324.0,1.0
mu[1038],-0.078,0.059,-0.193,0.031,0.0,0.001,18015.0,5830.0,1.0
mu[1039],-0.291,0.126,-0.536,-0.056,0.001,0.001,11611.0,7319.0,1.0
