,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[27236],0.068,0.058,-0.043,0.176,0.0,0.001,19616.0,5267.0,1.0
mu[27237],-0.156,0.059,-0.267,-0.045,0.0,0.001,18876.0,5465.0,1.0
mu[27238],-0.213,0.06,-0.325,-0.101,0.0,0.001,20045.0,5883.0,1.0
mu[27239],-0.307,0.057,-0.412,-0.198,0.0,0.001,17488.0,5529.0,1.0
mu[27240],-0.072,0.059,-0.184,0.036,0.0,0.001,17551.0,5913.0,1.0
mu[27241],-0.092,0.061,-0.212,0.015,0.0,0.001,15609.0,5662.0,1.0
mu[27242],0.246,0.062,0.135,0.366,0.0,0.001,16998.0,6270.0,1.0
mu[27243],0.035,0.059,-0.078,0.14,0.0,0.001,20317.0,5429.0,1.0
mu[27244],-0.101,0.058,-0.206,0.008,0.0,0.001,21707.0,4947.0,1.0
mu[27245],0.36,0.058,0.25,0.469,0.0,0.001,16736.0,6145.0,1.0
mu[27246],0.234,0.06,0.118,0.342,0.0,0.001,17561.0,6456.0,1.0
mu[27247],-0.008,0.058,-0.119,0.102,0.0,0.001,20179.0,5544.0,1.0
mu[27248],0.007,0.058,-0.102,0.114,0.0,0.001,18527.0,5810.0,1.0
mu[27249],0.241,0.063,0.128,0.361,0.001,0.001,15390.0,5722.0,1.0
mu[27250],-0.029,0.059,-0.139,0.085,0.0,0.001,17484.0,6001.0,1.0
mu[27251],-0.384,0.06,-0.498,-0.272,0.0,0.001,16504.0,5646.0,1.0
mu[27252],-0.039,0.058,-0.148,0.07,0.0,0.001,18530.0,5229.0,1.0
mu[27253],-0.018,0.058,-0.132,0.086,0.0,0.001,19511.0,5613.0,1.0
mu[27254],0.222,0.058,0.11,0.329,0.0,0.001,18449.0,5998.0,1.0
mu[27255],0.192,0.058,0.081,0.3,0.0,0.001,21414.0,5733.0,1.0
mu[27256],0.214,0.058,0.109,0.327,0.0,0.001,18330.0,6362.0,1.0
mu[27257],0.416,0.058,0.309,0.526,0.0,0.001,15167.0,5951.0,1.0
mu[27258],-0.121,0.062,-0.236,-0.003,0.0,0.001,15440.0,6011.0,1.0
mu[27259],0.245,0.059,0.136,0.36,0.0,0.001,17040.0,5792.0,1.0
mu[27260],0.357,0.057,0.25,0.466,0.0,0.001,16473.0,5965.0,1.0
mu[27261],-0.251,0.059,-0.36,-0.141,0.0,0.001,18400.0,6302.0,1.0
mu[27262],-0.262,0.061,-0.377,-0.15,0.0,0.001,17570.0,6248.0,1.0
mu[27263],-0.243,0.06,-0.356,-0.131,0.0,0.001,18160.0,6198.0,1.0
mu[27264],0.044,0.058,-0.066,0.152,0.0,0.001,17613.0,5516.0,1.0
mu[27265],0.713,0.058,0.601,0.82,0.001,0.001,13382.0,6701.0,1.0
mu[27266],0.248,0.058,0.135,0.354,0.0,0.001,18887.0,5842.0,1.0
mu[27267],0.14,0.059,0.027,0.249,0.0,0.001,18431.0,5473.0,1.0
mu[27268],-0.02,0.062,-0.137,0.092,0.0,0.001,16196.0,5723.0,1.0
mu[27269],0.125,0.061,0.017,0.244,0.0,0.001,15797.0,6083.0,1.0
mu[27270],-0.0,0.07,-0.132,0.13,0.001,0.001,13076.0,6922.0,1.0
mu[27271],0.144,0.059,0.035,0.25,0.0,0.001,17437.0,6006.0,1.0
mu[27272],-0.035,0.06,-0.146,0.081,0.0,0.001,18439.0,5523.0,1.0
mu[27273],0.427,0.058,0.314,0.532,0.0,0.001,15341.0,6198.0,1.0
mu[27274],0.044,0.062,-0.076,0.158,0.001,0.001,15199.0,5544.0,1.0
mu[27275],0.136,0.059,0.025,0.246,0.0,0.001,19467.0,5556.0,1.0
mu[27276],0.16,0.062,0.046,0.281,0.001,0.001,14486.0,5981.0,1.0
mu[27277],-0.029,0.058,-0.136,0.08,0.0,0.001,20703.0,5500.0,1.0
mu[27278],0.188,0.058,0.081,0.297,0.0,0.001,17493.0,6053.0,1.0
mu[27279],0.148,0.06,0.033,0.259,0.0,0.001,15473.0,5890.0,1.0
mu[27280],-0.002,0.06,-0.11,0.113,0.0,0.001,19620.0,6209.0,1.0
mu[27281],0.564,0.058,0.46,0.674,0.0,0.001,14768.0,6453.0,1.0
mu[27282],-0.138,0.058,-0.249,-0.03,0.0,0.001,19601.0,5430.0,1.0
mu[27283],-0.059,0.059,-0.174,0.052,0.0,0.001,17572.0,5729.0,1.0
mu[27284],0.144,0.061,0.031,0.26,0.0,0.001,14955.0,5876.0,1.0
mu[27285],-0.134,0.061,-0.249,-0.023,0.0,0.001,16507.0,5775.0,1.0
mu[27286],-0.018,0.059,-0.123,0.101,0.0,0.001,17704.0,5236.0,1.0
mu[27287],-0.056,0.062,-0.173,0.058,0.0,0.001,17173.0,6241.0,1.0
mu[27288],-0.269,0.059,-0.378,-0.157,0.0,0.001,18078.0,5115.0,1.0
mu[27289],-0.51,0.058,-0.622,-0.404,0.0,0.001,15855.0,6347.0,1.0
mu[27290],0.469,0.058,0.364,0.58,0.0,0.001,16393.0,6140.0,1.0
mu[27291],0.147,0.059,0.031,0.254,0.0,0.001,18304.0,5840.0,1.0
mu[27292],-0.657,0.058,-0.767,-0.545,0.0,0.001,16151.0,5938.0,1.0
mu[27293],-0.339,0.057,-0.445,-0.228,0.0,0.001,18648.0,5853.0,1.0
mu[27294],0.012,0.058,-0.101,0.119,0.0,0.001,19138.0,5665.0,1.0
mu[27295],-0.206,0.058,-0.311,-0.092,0.0,0.001,17931.0,5236.0,1.0
mu[27296],-0.606,0.06,-0.718,-0.494,0.0,0.001,14528.0,6588.0,1.0
mu[27297],0.014,0.058,-0.095,0.123,0.0,0.001,17127.0,5966.0,1.0
mu[27298],-0.058,0.058,-0.165,0.052,0.0,0.001,18938.0,6261.0,1.0
mu[27299],-0.348,0.059,-0.457,-0.235,0.0,0.001,18272.0,6356.0,1.0
mu[27300],-0.559,0.061,-0.672,-0.444,0.001,0.001,13360.0,6285.0,1.0
mu[27301],-0.142,0.059,-0.252,-0.033,0.0,0.001,18168.0,5790.0,1.0
mu[27302],0.269,0.058,0.162,0.38,0.0,0.001,15707.0,6270.0,1.0
mu[27303],0.194,0.062,0.075,0.31,0.001,0.001,15320.0,6036.0,1.0
mu[27304],-0.649,0.059,-0.76,-0.539,0.001,0.001,13278.0,5873.0,1.0
mu[27305],0.106,0.059,-0.007,0.215,0.0,0.001,20685.0,5753.0,1.0
mu[27306],0.109,0.058,-0.001,0.22,0.0,0.001,19981.0,5078.0,1.0
mu[27307],-0.091,0.064,-0.212,0.03,0.001,0.001,15169.0,6603.0,1.0
mu[27308],-0.04,0.058,-0.149,0.071,0.0,0.001,20051.0,5760.0,1.0
mu[27309],-0.06,0.058,-0.174,0.045,0.0,0.001,19643.0,5753.0,1.0
mu[27310],-0.043,0.059,-0.16,0.062,0.0,0.001,19613.0,5597.0,1.0
mu[27311],-0.06,0.059,-0.174,0.048,0.0,0.001,21117.0,6169.0,1.0
mu[27312],-0.034,0.059,-0.146,0.075,0.0,0.001,20174.0,5657.0,1.0
mu[27313],-0.201,0.059,-0.312,-0.089,0.0,0.001,18732.0,5758.0,1.0
mu[27314],-0.055,0.061,-0.168,0.065,0.0,0.001,15983.0,6040.0,1.0
mu[27315],0.137,0.06,0.019,0.245,0.0,0.001,18639.0,6035.0,1.0
mu[27316],0.148,0.06,0.035,0.259,0.0,0.001,20035.0,5820.0,1.0
mu[27317],-0.119,0.09,-0.282,0.053,0.001,0.001,11363.0,6856.0,1.0
mu[27318],0.045,0.058,-0.057,0.16,0.0,0.001,18040.0,5359.0,1.0
mu[27319],-0.228,0.059,-0.337,-0.115,0.0,0.001,19172.0,5817.0,1.0
mu[27320],0.008,0.058,-0.102,0.116,0.0,0.001,20395.0,5667.0,1.0
mu[27321],-0.209,0.058,-0.319,-0.102,0.0,0.001,20055.0,5709.0,1.0
mu[27322],-0.254,0.06,-0.367,-0.143,0.0,0.001,16576.0,6503.0,1.0
mu[27323],-0.235,0.062,-0.35,-0.113,0.0,0.001,15917.0,6424.0,1.0
mu[27324],-0.073,0.061,-0.185,0.043,0.0,0.001,18791.0,6116.0,1.0
mu[27325],-0.015,0.059,-0.123,0.103,0.0,0.001,20460.0,5334.0,1.0
mu[27326],-0.023,0.058,-0.128,0.087,0.0,0.001,20405.0,5681.0,1.0
mu[27327],0.015,0.06,-0.097,0.125,0.0,0.001,19485.0,5975.0,1.0
mu[27328],0.089,0.072,-0.042,0.229,0.001,0.001,14941.0,6524.0,1.0
mu[27329],0.118,0.058,0.01,0.226,0.0,0.001,21503.0,5288.0,1.0
mu[27330],-0.325,0.059,-0.435,-0.215,0.0,0.001,17562.0,6104.0,1.0
mu[27331],0.025,0.061,-0.088,0.141,0.0,0.001,17999.0,5398.0,1.0
mu[27332],-0.159,0.058,-0.263,-0.049,0.0,0.001,21257.0,6347.0,1.0
mu[27333],-0.054,0.058,-0.17,0.051,0.0,0.001,19862.0,5836.0,1.0
mu[27334],-0.072,0.058,-0.18,0.035,0.0,0.001,19698.0,5474.0,1.0
mu[27335],-0.224,0.062,-0.338,-0.105,0.0,0.001,17137.0,6424.0,1.0
mu[27336],0.136,0.06,0.022,0.248,0.0,0.001,16876.0,5748.0,1.0
mu[27337],-0.422,0.059,-0.533,-0.315,0.0,0.001,18597.0,5655.0,1.0
mu[27338],0.615,0.058,0.506,0.722,0.0,0.001,15010.0,6935.0,1.0
mu[27339],0.175,0.058,0.069,0.283,0.0,0.001,19551.0,5764.0,1.0
mu[27340],0.023,0.06,-0.09,0.133,0.0,0.001,19542.0,5957.0,1.0
mu[27341],-0.033,0.059,-0.147,0.077,0.0,0.001,20801.0,5152.0,1.0
mu[27342],0.054,0.061,-0.059,0.17,0.0,0.001,17341.0,6388.0,1.0
mu[27343],-0.014,0.06,-0.129,0.094,0.0,0.001,18705.0,6173.0,1.0
mu[27344],-0.026,0.059,-0.13,0.095,0.0,0.001,20974.0,5309.0,1.0
mu[27345],-0.065,0.06,-0.178,0.045,0.0,0.001,20308.0,5785.0,1.0
mu[27346],-0.225,0.065,-0.344,-0.099,0.001,0.001,16449.0,6532.0,1.0
mu[27347],0.024,0.06,-0.088,0.135,0.0,0.001,20305.0,5408.0,1.0
mu[27348],0.153,0.06,0.042,0.268,0.0,0.001,19117.0,5881.0,1.0
mu[27349],-0.036,0.062,-0.149,0.087,0.001,0.001,15470.0,6235.0,1.0
mu[27350],-0.04,0.07,-0.174,0.089,0.001,0.001,14176.0,6775.0,1.0
mu[27351],0.016,0.059,-0.094,0.128,0.0,0.001,19356.0,5672.0,1.0
mu[27352],0.005,0.059,-0.111,0.11,0.0,0.001,22284.0,5524.0,1.0
mu[27353],-0.188,0.058,-0.293,-0.074,0.0,0.001,19219.0,5372.0,1.0
