Sample,CellType,Signature,Z
C3N-01998,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.2642535297481172
C3N-02010,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.2734041341713699
C3N-02295,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0468055316347239
C3N-02573,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.495463775460108
C3N-02579,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.2684513944675672
C3N-02585,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.4589198291690555
C3N-02589,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.1398917758091217
C3N-02592,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.0782622587898788
C3N-02768,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.0535981561066149
C3N-02940,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.0141606537829898
