Sample,CellType,Signature,Z
C3L-00928,B CELLS,Cellular_Stress_Response_Signature,1.4862432916562425
C3L-01031,B CELLS,Cellular_Stress_Response_Signature,0.537896091859465
C3L-01036,B CELLS,Cellular_Stress_Response_Signature,-0.8524594116411446
C3L-01037,B CELLS,Cellular_Stress_Response_Signature,-0.342735161686692
C3L-01051,B CELLS,Cellular_Stress_Response_Signature,0.1903695827088787
C3L-01052,B CELLS,Cellular_Stress_Response_Signature,-0.8981726160920915
C3L-01053,B CELLS,Cellular_Stress_Response_Signature,-0.3143711830444858
C3L-01054,B CELLS,Cellular_Stress_Response_Signature,0.3309597222466272
C3L-01124,B CELLS,Cellular_Stress_Response_Signature,0.634560444689716
C3L-01328,B CELLS,Cellular_Stress_Response_Signature,-0.7719770635345687
C3L-01453,B CELLS,Cellular_Stress_Response_Signature,0.5858972906764768
C3L-01598,B CELLS,Cellular_Stress_Response_Signature,1.5369670489159148
C3L-01637,B CELLS,Cellular_Stress_Response_Signature,1.3678334255949811
C3L-01662,B CELLS,Cellular_Stress_Response_Signature,-0.4094566715972366
C3L-01687,B CELLS,Cellular_Stress_Response_Signature,0.8329371811506855
C3L-01689,B CELLS,Cellular_Stress_Response_Signature,-0.6686456569004788
C3L-01703,B CELLS,Cellular_Stress_Response_Signature,-0.2620722200107169
C3L-01971,B CELLS,Cellular_Stress_Response_Signature,-0.0436859024477371
C3L-02109,B CELLS,Cellular_Stress_Response_Signature,-0.6163475057070473
C3L-02112,B CELLS,Cellular_Stress_Response_Signature,0.1150198033207332
C3L-02115,B CELLS,Cellular_Stress_Response_Signature,-0.6217242888473761
C3L-02116,B CELLS,Cellular_Stress_Response_Signature,2.0306675580081297
C3L-02118,B CELLS,Cellular_Stress_Response_Signature,1.5012185806948837
C3L-02463,B CELLS,Cellular_Stress_Response_Signature,-0.2329646776314284
C3L-02604,B CELLS,Cellular_Stress_Response_Signature,-0.8355395176891914
C3L-02606,B CELLS,Cellular_Stress_Response_Signature,-0.8825486022711072
C3L-02610,B CELLS,Cellular_Stress_Response_Signature,-0.2242546431948031
C3L-02613,B CELLS,Cellular_Stress_Response_Signature,-0.4747630111815814
C3L-02701,B CELLS,Cellular_Stress_Response_Signature,-0.0268398419354887
C3L-02809,B CELLS,Cellular_Stress_Response_Signature,-0.777298434606666
C3L-02890,B CELLS,Cellular_Stress_Response_Signature,-0.3139323573736879
C3L-02897,B CELLS,Cellular_Stress_Response_Signature,-0.535826825575928
C3L-02899,B CELLS,Cellular_Stress_Response_Signature,-0.4995913549335947
C3L-03123,B CELLS,Cellular_Stress_Response_Signature,0.9608591968829464
C3L-03356,B CELLS,Cellular_Stress_Response_Signature,0.8068107780351494
C3L-03388,B CELLS,Cellular_Stress_Response_Signature,0.344625900916447
C3L-03394,B CELLS,Cellular_Stress_Response_Signature,-0.7677686239282854
C3L-03395,B CELLS,Cellular_Stress_Response_Signature,-0.1984801716819211
C3L-03628,B CELLS,Cellular_Stress_Response_Signature,0.0279452459967843
C3L-03630,B CELLS,Cellular_Stress_Response_Signature,0.0321425877772934
C3L-03632,B CELLS,Cellular_Stress_Response_Signature,-0.523094699107237
C3L-03635,B CELLS,Cellular_Stress_Response_Signature,-0.4319235966923156
C3L-03639,B CELLS,Cellular_Stress_Response_Signature,-0.716906807031245
C3L-03743,B CELLS,Cellular_Stress_Response_Signature,-0.6838013821010285
C3L-04027,B CELLS,Cellular_Stress_Response_Signature,-0.9779884336875928
C3L-04080,B CELLS,Cellular_Stress_Response_Signature,-0.6213696647868552
C3L-04473,B CELLS,Cellular_Stress_Response_Signature,1.196790397500714
C3L-04475,B CELLS,Cellular_Stress_Response_Signature,-0.6123389218168974
C3L-04479,B CELLS,Cellular_Stress_Response_Signature,0.332952827277654
C3L-04495,B CELLS,Cellular_Stress_Response_Signature,-0.4298852929554552
C3L-04848,B CELLS,Cellular_Stress_Response_Signature,0.0685788555700175
C3L-04853,B CELLS,Cellular_Stress_Response_Signature,-0.3920889524482687
C3N-00198,B CELLS,Cellular_Stress_Response_Signature,-0.1114228157337438
C3N-00249,B CELLS,Cellular_Stress_Response_Signature,0.8769362856933469
C3N-00302,B CELLS,Cellular_Stress_Response_Signature,-0.5674156107501735
C3N-00303,B CELLS,Cellular_Stress_Response_Signature,-0.1363417586303671
C3N-00436,B CELLS,Cellular_Stress_Response_Signature,-0.2378645222348279
C3N-00511,B CELLS,Cellular_Stress_Response_Signature,-0.244134123867052
C3N-00512,B CELLS,Cellular_Stress_Response_Signature,2.4973602653158635
C3N-00514,B CELLS,Cellular_Stress_Response_Signature,0.5472173999692865
C3N-00516,B CELLS,Cellular_Stress_Response_Signature,-0.3118158664804524
C3N-00517,B CELLS,Cellular_Stress_Response_Signature,-0.7250965265663187
C3N-00518,B CELLS,Cellular_Stress_Response_Signature,-0.8459329659545807
C3N-00957,B CELLS,Cellular_Stress_Response_Signature,-0.2412186120099588
C3N-01011,B CELLS,Cellular_Stress_Response_Signature,-0.0072768799524184
C3N-01012,B CELLS,Cellular_Stress_Response_Signature,-0.3173817815698437
C3N-01165,B CELLS,Cellular_Stress_Response_Signature,-0.2168851251681397
